Query_ID,Query,P@5,R@5,RR,Rank,Doc_ID,Similarity,Is_Relevant,Relevant_Docs,Preview
1,machine learning algorithms,0.6000,0.6000,1.0000,1,8964,0.368836,True,338; 2066; 8964; 15168; 20472,Jacob Abernethy and I have found a computationally tractable method for computing an optimal (or near optimal depending 
1,machine learning algorithms,0.6000,0.6000,1.0000,2,10909,0.309529,False,338; 2066; 8964; 15168; 20472,"James Neill, a Montreal-based kdb+ developer with First Derivatives, wrote a paper about how kdb+ can be used in machine"
1,machine learning algorithms,0.6000,0.6000,1.0000,3,20472,0.297557,True,338; 2066; 8964; 15168; 20472,It is self-evident that the content of a website plays an important role in marketing. Strategies for content marketing 
1,machine learning algorithms,0.6000,0.6000,1.0000,4,3298,0.292549,False,338; 2066; 8964; 15168; 20472,"Zheng-Chu Guo, Lei Shi, Qiang Wu; 18(118):1−25, 2017. Distributed learning is an effective way to analyze big data. In d"
1,machine learning algorithms,0.6000,0.6000,1.0000,5,15168,0.278713,True,338; 2066; 8964; 15168; 20472,"AI and deep learning is serious business at NVIDIA, but that doesn’t mean you can’t have a ton of fun putting it to work"
2,climate change warming,0.2000,0.2500,0.3333,1,19142,0.618385,False,896; 1321; 3178; 9209,"Reduce short-lived climate change or even this essay. Should we should trust the following feb 27, written is a signific"
2,climate change warming,0.2000,0.2500,0.3333,2,29504,0.407538,False,896; 1321; 3178; 9209,This presentation draws on the materials used by Nobel Laureate Al Gore for his Climate Reality summits. The program wil
2,climate change warming,0.2000,0.2500,0.3333,3,9209,0.388781,True,896; 1321; 3178; 9209,Climate Change Denial: Why It can Be Hugely Influential? You are here: Home / Hello Earth / Climate Change Denial: Why I
2,climate change warming,0.2000,0.2500,0.3333,4,16935,0.368857,False,896; 1321; 3178; 9209,"During a December interview with NPR's Steve Inskeep, presidential candidate Ted Cruz turned the tables and asked the re"
2,climate change warming,0.2000,0.2500,0.3333,5,6575,0.356845,False,896; 1321; 3178; 9209,"A description of procedures used by Members appeared in Monthly Climatic Data for the World, 1967 Supplement--computatio"
3,stock market trading,0.4000,0.6667,0.5000,1,20511,0.417056,False,9; 14408; 24446,By Madison Montana One advantage of short-selling is that an active investor can be profitable in a rising or falling ma
3,stock market trading,0.4000,0.6667,0.5000,2,24446,0.408857,True,9; 14408; 24446,Welcome to the Short Selling Stocks Tools and Resources page! Stocks tend to fall twice as fast as they rise in the Stoc
3,stock market trading,0.4000,0.6667,0.5000,3,29636,0.361637,False,9; 14408; 24446,Stock Market Blahs - Or Price Breakout? CAUTION is the pattern for Wall Street. There's occasional volatility in the Dow
3,stock market trading,0.4000,0.6667,0.5000,4,14408,0.353058,True,9; 14408; 24446,Before putting resources into equity market first we need to mindful about Equity. Meaning of Equity Market Investment: 
3,stock market trading,0.4000,0.6667,0.5000,5,25545,0.343218,False,9; 14408; 24446,"Market Orders are an order to buy or sell a stock at the best available price. Generally, this type of order will be exe"
4,healthy diet nutrition,0.8000,0.8000,1.0000,1,3701,0.423034,True,1041; 3701; 6418; 11426; 13001,The Philippines loses about 220 billion pesos annually due to high prevalence of undernutrition among children. This was
4,healthy diet nutrition,0.8000,0.8000,1.0000,2,11426,0.382323,True,1041; 3701; 6418; 11426; 13001,Welcome to our home page! The Nutrition and Dietetics program results in a bachelor of science degree and helps prepare 
4,healthy diet nutrition,0.8000,0.8000,1.0000,3,6418,0.367003,True,1041; 3701; 6418; 11426; 13001,Boiled Egg Diet Makes You Lose 24 Lbs In 14 Days! This Diet Recommended By Every Nutritionist Called “The Boiled Egg Die
4,healthy diet nutrition,0.8000,0.8000,1.0000,4,13001,0.354476,True,1041; 3701; 6418; 11426; 13001,"Eat according to your body type, blood type and goal. Nutrition For You consist of a series of nutrition books written b"
4,healthy diet nutrition,0.8000,0.8000,1.0000,5,3180,0.324670,False,1041; 3701; 6418; 11426; 13001,"My mission is to help individuals to achieve radiant good health by promoting choice, self-empowerment and personal resp"
5,renewable solar energy,0.4000,0.5000,0.5000,1,21354,0.539141,False,210; 1699; 3806; 17056,"I am strongly in favor of protecting the human, economic and environmental values of our desert communities. Therefore I"
5,renewable solar energy,0.4000,0.5000,0.5000,2,17056,0.481228,True,210; 1699; 3806; 17056,The educational materials listed on this page are about Energy Conservation/Efficiency. You can browse these materials f
5,renewable solar energy,0.4000,0.5000,0.5000,3,21841,0.471820,False,210; 1699; 3806; 17056,"Sustainable energy is the future for America’s power needs, and Black Hawk College is leading the way in sustainable ene"
5,renewable solar energy,0.4000,0.5000,0.5000,4,3806,0.448865,True,210; 1699; 3806; 17056,"The 2015 Super Bowl host stadium will be powered by 100% wind energy, and is not the only stadium in the US making an ex"
5,renewable solar energy,0.4000,0.5000,0.5000,5,25625,0.437905,False,210; 1699; 3806; 17056,"I WANT TO SWITCH, BUT HOW DO I DO IT? 1 - Grab your electricity bill. You’ll need to have your account number handy. 3 -"
6,database sql query,0.4000,0.5000,1.0000,1,14866,0.468072,True,5653; 8100; 12050; 14866,"In this blogpost, you will learn how Azure SQL Database intelligent performance feature Intelligent Insights has success"
6,database sql query,0.4000,0.5000,1.0000,2,11538,0.459686,False,5653; 8100; 12050; 14866,The first step you need to use a database is… to create one. As a good practice we will write SQL commands and keywords 
6,database sql query,0.4000,0.5000,1.0000,3,5653,0.446936,True,5653; 8100; 12050; 14866,"The Hepsia hosting Control Panel includes a full-featured database administration graphical user interface, which will g"
6,database sql query,0.4000,0.5000,1.0000,4,25284,0.365423,False,5653; 8100; 12050; 14866,In Part 1 I covered a simple stored procedure that printed the current date. In this article I'll cover writing a stored
6,database sql query,0.4000,0.5000,1.0000,5,27858,0.354571,False,5653; 8100; 12050; 14866,"Most applications include a database, and the goal of the project I’m working on is to make Agile continuous delivery po"
MEAN,OVERALL BENCHMARK AVERAGE,0.4667,0.5528,0.7222,,,,,,Mean evaluation metrics across all benchmark queries
